AFFX-BioB-5_at AFFX-BioB-M_at AFFX-BioB-3_at AFFX-BioC-5_at AFFX-BioC-3_at AFFX-BioDn-5_at AFFX-BioDn-3_at AFFX-CreX-5_at AFFX-CreX-3_at AFFX-BioB-5_st AFFX-BioB-M_st AFFX-BioB-3_st AFFX-BioC-5_st AFFX-BioC-3_st AFFX-BioDn-5_st AFFX-BioDn-3_st AFFX-CreX-5_st AFFX-CreX-3_st hum_alu_at AFFX-DapX-5_at AFFX-DapX-M_at AFFX-DapX-3_at AFFX-LysX-5_at AFFX-LysX-M_at AFFX-LysX-3_at AFFX-PheX-5_at AFFX-PheX-M_at AFFX-PheX-3_at AFFX-ThrX-5_at AFFX-ThrX-M_at AFFX-ThrX-3_at AFFX-TrpnX-5_at AFFX-TrpnX-M_at AFFX-TrpnX-3_at AFFX-HUMISGF3A_M97935_5_at AFFX-HUMISGF3A_M97935_MA_at AFFX-HUMISGF3A_M97935_MB_at AFFX-HUMISGF3A_M97935_3_at AFFX-HUMRGE_M10098_5_at AFFX-HUMRGE_M10098_M_at AFFX-HUMRGE_M10098_3_at AFFX-HUMGAPDH_M33197_5_at AFFX-HUMGAPDH_M33197_M_at AFFX-HUMGAPDH_M33197_3_at AFFX-HSAC07_X00351_5_at AFFX-HSAC07_X00351_M_at AFFX-HSAC07_X00351_3_at AFFX-HUMTFRR_M11507_5_at AFFX-HUMTFRR_M11507_M_at AFFX-HUMTFRR_M11507_3_at AFFX-M27830_5_at AFFX-M27830_M_at AFFX-M27830_3_at AFFX-HSAC07_X00351_3_st AFFX-HUMGAPDH_M33197_5_st AFFX-HUMGAPDH_M33197_M_st AFFX-HUMGAPDH_M33197_3_st AFFX-HSAC07_X00351_5_st AFFX-HSAC07_X00351_M_st A28102_at AB000114_at AB000115_at AB000220_at AB000409_at AB000449_at AB000450_at AB000460_at AB000462_at AB000464_at AB000466_at AB000467_at AB000468_at AB000584_at AB000895_at AB000896_at AB000897_at AB000905_at AB001106_at AB001325_at AB002314_at AB002315_at AB002318_at AB002365_at AB002366_at AB002380_at AB002382_at AB002409_at AB002559_at AB003102_at AB003103_at AB003177_at AB003698_at AB004884_at AB006190_at AC000061_cds2_at AC000061_cds3_at AC000062_at AC000064_cds1_at AC000064_cds2_at AC000066_at CLASS 
-26 -27 143 -92 -198 -361 -347 -142 57 343 134 -338 -335 -86 -54 -74 -12 -174 15657 -18 172 11 -12 -37 -29 -51 -172 81 -85 -88 -179 -61 -340 -212 -197 -198 8 166 -88 -208 -99 13314 12015 16397 15171 19821 13308 167 -11 54 198 1580 188 1354 -42 245 483 92 794 153 -39 56 38 -9 57 45 1240 -194 206 -882 -713 508 -4 -620 123 -75 48 269 406 10 141 636 75 -39 71 525 -41 769 247 99 134 154 388 210 565 -44 -2 533 93 -10 1 
-109 -80 -97 104 -77 -233 -32 -142 -103 263 6 -358 -362 -175 -17 140 -57 -102 9710 -351 37 -30 -17 -121 -34 -111 -99 84 -27 -53 -154 -58 -365 -208 -228 -186 107 342 107 152 494 15373 11845 12808 14071 16753 13791 301 144 491 9932 5859 633 1478 223 335 357 2 461 194 -1 112 121 2 93 118 951 79 265 -400 -200 724 120 -195 -41 -6 30 890 408 18 194 379 73 -11 98 767 32 351 695 346 468 241 1166 556 197 -33 6 440 110 2 1 
-111 -63 125 42 -167 -226 447 -133 133 394 47 -863 -258 -10 -101 178 -77 -191 50937 181 98 -130 -53 31 -21 31 -130 125 -138 -125 -351 -90 -498 -325 -362 -95 -15 860 98 -183 85 5317 6311 8823 17463 20209 7185 130 -15 74 87 769 -111 847 -39 127 -5 354 602 98 53 15 111 -39 58 50 980 -42 138 -482 -1342 170 -31 -450 -15 -55 34 186 567 26 162 519 55 2 396 348 -138 1009 532 234 508 173 527 333 210 -2 -125 322 26 101 1 
-290 -181 89 264 -130 -365 99 -157 -238 -205 -344 -441 -506 -200 -254 81 -27 -214 6839 -2820 -1202 -143 6 -129 49 -285 -272 107 -40 -80 -254 -266 -5588 -5386 -5735 -3852 318 1035 -298 -251 -462 19909 12776 14639 13614 14286 14306 601 6 366 -204 575 1075 572 -133 142 704 -184 624 196 6 153 1198 90 -6 -33 2144 -111 867 -739 -223 1540 -151 -408 122 208 128 1564 1197 4 1065 1316 394 99 584 1653 -22 415 1591 1713 973 877 3458 1149 170 -106 -36 1537 396 68 1 
21 -50 102 68 -143 -220 98 -71 -6 41 1 -185 -135 -74 -72 82 -33 -195 19842 -34 63 1 43 -71 45 -56 -115 76 -43 -47 -184 -49 -480 -261 -279 -177 84 519 1427 1027 2491 13458 12675 17309 14712 14913 15983 180 97 231 1650 3804 519 1535 57 322 407 -18 461 134 5 209 34 153 41 47 1099 -40 168 -197 -437 548 120 -269 88 60 72 674 472 86 117 882 477 120 256 726 6 235 361 339 324 289 891 504 277 -35 17 527 153 13 1 
-38 3 53 -49 -130 -90 103 -29 -4 -92 -15 -236 -55 -55 -104 135 -24 -178 28159 -50 120 -16 26 -12 41 -41 -103 -63 0 -18 -149 -29 -300 -212 -161 -130 101 152 -155 -235 -144 12246 18405 19234 12735 18060 8321 52 12 224 87 95 83 158 -49 89 1 -113 144 161 76 70 50 -118 103 29 818 15 207 -166 -315 341 69 -49 47 95 66 389 320 150 90 189 33 16 130 707 78 350 232 172 170 66 363 266 315 -64 9 495 70 0 1 
-50 -36 63 -4 -65 -355 320 -63 50 0 -63 -261 -209 -77 -154 -31 45 -94 12886 -112 31 -66 -2 -166 11 -57 -84 -80 18 2 -232 -21 -539 -268 -278 -164 140 485 324 127 545 16161 10757 15202 15267 18185 13678 270 92 326 738 4979 307 1016 -72 216 405 34 631 188 0 196 176 6 138 65 1343 0 172 -427 -165 1200 95 -830 -111 165 63 1160 603 63 259 932 50 99 194 691 -81 331 469 275 380 201 821 604 289 -133 9 891 138 18 1 
0 -49 -95 225 -277 -320 337 23 -69 479 14 -545 -407 34 -66 158 -72 -141 55459 51 112 -40 -14 -129 -23 -202 -147 -167 2 -106 -196 -20 -1210 -678 -736 -675 173 392 -101 -254 -349 16120 8890 7723 8908 14757 16354 173 8 25 2 823 571 826 -248 75 190 -450 173 361 -37 75 112 -161 43 8 1695 8 375 -1187 -1346 459 -46 236 -80 57 150 687 996 132 190 571 23 103 219 886 213 467 592 216 583 196 1334 612 291 -54 -20 667 158 -34 1 
-87 -135 -178 5 -294 -403 -621 -127 -12 44 -154 -360 -532 -313 -124 217 96 -327 16948 25 130 -141 5 -105 44 -170 -103 24 -21 -11 -292 -67 -655 -307 -291 -43 107 313 396 173 126 17256 14162 17952 9666 12082 15655 203 22 294 329 1050 530 1604 327 277 134 -159 580 94 93 297 92 89 241 120 2084 130 806 -308 -813 569 193 134 30 -59 31 1099 844 96 283 725 59 211 380 1481 -92 444 1011 289 287 611 1155 685 313 -75 6 966 213 20 1 
74 49 -10 -81 -141 -571 74 -66 21 497 52 -1040 -511 66 35 278 56 -109 65812 77 338 -28 98 -81 292 200 -296 -66 -70 3 -504 -172 -1071 -585 -578 -363 282 609 -398 -433 -211 20719 23159 35344 30045 40054 16136 222 -24 243 193 1096 -10 1156 -169 504 380 652 1128 380 133 197 289 137 21 253 3144 169 641 -592 -659 853 461 -701 324 267 264 430 1219 479 278 391 232 229 927 1061 162 1635 1184 468 557 274 937 437 821 -112 102 800 56 52 1 
-278 -183 -76 159 -100 -340 515 -136 153 -17 -130 -867 -222 174 68 361 -139 -266 53650 53 5 -50 100 -100 316 -115 -207 136 -53 11 -207 44 -793 -364 -636 -334 106 310 -337 -301 -204 14312 14345 17000 23098 34234 23163 201 -71 195 275 2297 399 710 -390 195 180 2 467 438 5 133 71 -115 38 307 2436 82 402 -663 -680 932 195 -586 -82 136 11 577 710 334 79 639 1338 257 683 888 -41 1311 1080 592 769 180 319 361 500 -85 85 595 -50 26 1 
-109 -133 -202 71 -160 -204 -95 -118 -140 26 -61 -264 -239 -86 -39 21 -44 -87 9667 -700 -535 -5 4 -63 -22 -70 -42 -8 -18 -10 -153 -45 -1701 -1266 -1354 -1159 22 703 44 -24 -48 3941 8194 14322 8996 16501 15317 121 -59 85 92 1137 631 403 -24 97 179 -125 149 34 123 129 542 170 584 153 1533 37 452 -323 -211 1148 -64 -166 -37 -25 42 1353 532 17 622 648 15 16 612 934 52 219 2105 962 845 640 2645 613 158 -8 -11 975 240 42 0 
-8 89 34 -101 -304 -480 28 -62 37 248 293 -624 -413 -90 -340 262 -101 -49 22715 -25 65 -60 -33 -138 25 -136 -87 206 -61 -5 -207 35 -730 -314 -198 -3 212 423 8 -136 -149 13763 12461 17475 21012 24280 16855 55 47 216 106 1907 84 1216 76 244 387 189 738 317 57 192 783 -11 75 185 1701 -174 742 -1138 -615 181 -7 -480 80 -21 101 448 887 -34 3 285 125 126 149 1082 -160 1056 541 83 244 192 654 481 325 -69 -38 509 167 -5 0 
-221 -239 -81 61 -122 -87 219 -148 235 29 -174 -690 -116 11 259 -25 -132 -223 34538 11 -11 -211 -21 -162 -41 -154 -49 -146 47 -177 -217 27 -472 -247 -452 -100 136 245 -92 -270 -162 10552 10398 14839 16267 20689 7837 191 -211 90 154 741 -31 682 11 217 -49 164 395 33 57 27 39 -49 43 176 636 -65 -3 -688 -1309 367 -257 -630 0 -41 71 142 504 -33 -29 330 19 -59 172 375 -290 615 411 156 545 164 543 138 709 29 -130 302 65 79 0 
-72 -88 -63 70 -108 -261 64 -61 -13 114 -17 -74 -128 -133 -254 220 57 -47 31336 -263 135 -78 -31 -177 124 -157 -31 161 -112 -33 -265 0 -943 -588 -653 -273 305 882 -198 -230 -265 14439 10129 1360 651 8947 35732 330 194 496 61 669 752 730 39 204 163 -206 297 76 11 238 277 -59 3 112 1680 59 478 -527 -309 842 -488 84 175 -112 102 1435 1016 116 527 874 55 86 149 1561 100 275 482 200 338 466 1404 1055 352 -57 55 687 354 0 0 
88 -155 85 378 -460 -565 896 -381 139 -12 321 -2081 -591 -85 371 419 -219 -654 50150 190 98 -79 22 -111 -76 -174 -241 85 -232 -165 -483 60 -924 -451 -181 -177 371 1277 3709 2994 3318 16022 15997 27783 7380 12847 10838 28 -9 174 4252 12392 28 2342 6 -149 689 181 1497 1137 143 734 1535 136 123 632 3594 -60 1493 -1802 -1465 734 -820 -2329 -162 174 38 657 1474 -143 219 1675 909 146 956 753 -203 1713 1265 928 1071 114 1255 1176 905 -79 -38 1795 766 187 0 
-150 -72 -124 248 -602 -612 -183 -144 88 -81 75 -609 -595 -88 -376 36 -75 -333 54918 -124 239 -19 -19 -117 55 49 9 -22 -36 -114 -281 3 -838 -474 -484 -265 196 703 -297 -356 -402 10491 12462 14695 30540 45704 41722 166 39 383 147 1136 225 776 -271 16 242 -203 337 379 242 307 1254 248 55 39 3228 65 936 -543 -360 1247 -19 65 62 330 16 1155 723 140 546 58 -16 173 1074 1132 209 478 1810 576 743 232 1601 582 150 -65 65 746 350 -19 0 
-97 -53 25 237 -109 -421 695 -122 153 406 7 -682 -255 79 -17 166 40 -150 43857 -130 104 45 25 -56 -30 -56 -194 17 -168 -25 -260 -66 -1640 -677 -1011 -1063 -56 329 -237 -332 -288 7308 6733 9710 10091 25491 23970 91 -25 155 153 569 -22 968 -79 168 -99 -125 183 523 150 258 183 89 15 189 2133 12 324 -603 -753 779 255 -1050 178 94 53 488 1073 2 194 -398 258 2 626 1280 5 1346 896 472 206 148 666 503 229 -35 20 631 189 53 0 
-93 -87 180 -60 -350 -1216 -10 -285 82 345 597 -986 -734 0 -350 290 -104 -93 97183 -175 427 -131 257 137 137 -87 -372 460 -38 -43 -663 -104 -2186 -1227 -1030 -263 230 657 -147 -285 -38 11510 8994 26380 15127 28331 14930 104 -295 120 285 591 -54 1342 -317 115 -10 -104 696 372 274 317 224 213 76 312 3195 -32 1057 -1748 -1496 701 175 -1003 49 -186 87 564 1545 400 268 350 131 208 833 2493 -142 2455 1183 789 597 71 1353 827 696 38 -131 663 87 158 0 
-273 -341 -18 353 -159 -224 512 -334 -3 478 68 -1256 -140 -140 -227 34 254 -353 63747 -15 273 167 121 -375 56 -41 -311 -53 -11 -163 -45 -3 -542 -410 -265 -356 -75 334 -318 -1302 -611 15602 14250 20751 16016 21571 8912 117 -174 231 -75 527 -1423 725 -280 337 -254 292 596 330 72 -64 -83 -262 -53 356 1283 197 402 -1268 -1636 72 -79 -1146 -140 -212 0 -3 911 34 -144 550 87 7 140 497 26 1150 292 37 577 72 56 637 1123 -49 -30 516 79 18 0 
-215 -357 89 362 -572 -935 436 -409 683 21 -15 -1833 -893 -194 1481 656 -99 -520 88278 110 304 -257 42 -173 173 -168 -294 42 5 -26 -556 -105 -1550 -504 -719 -283 273 1791 1287 346 346 13699 14108 20461 15942 18585 6747 168 -168 189 2790 9511 173 1944 457 105 599 -84 1481 846 162 814 289 -246 15 588 3378 199 1350 -2017 -1602 178 -367 -772 -304 -136 262 1040 1823 210 194 399 541 136 740 1628 252 2485 1166 788 625 110 1371 630 551 -105 -189 756 325 246 0 
-291 -116 -68 44 -193 -340 598 -92 -6 -28 -33 -479 -580 -137 65 183 20 -629 8562 -834 -388 -62 21 -300 46 -189 -143 -11 -44 -21 -326 5 -1877 -1964 -2078 -1628 165 551 22 -261 -137 17455 9965 15202 12980 16886 14342 378 38 281 436 2223 432 930 -28 287 268 -84 800 162 25 151 114 -175 32 69 2500 64 861 -785 -1216 414 143 -895 0 26 132 1026 1080 66 380 1462 -45 -17 92 1539 -197 418 673 232 671 241 993 581 335 -109 -17 629 206 -29 0 
-343 -131 -119 232 -31 -251 -248 -38 -136 -4 -39 -160 -198 -153 -167 -246 175 25 21747 -940 -350 -53 -29 -90 -86 -146 -173 307 -4 -151 -316 -32 -3609 -1732 -2431 -1741 19 451 166 300 631 11937 9920 16206 13500 14493 16740 97 -51 113 464 2184 481 630 -26 418 391 -35 633 373 208 540 161 197 79 154 1243 235 766 -123 400 1099 787 938 644 1555 3498 3162 3349 4205 227 791 -53 -327 73 949 -163 234 298 173 540 363 747 909 455 120 66 333 126 119 0 
-31 -73 83 196 -107 -146 -101 -133 -103 39 -5 -232 -165 0 -126 123 -71 -198 22662 -69 18 -54 73 -78 -11 -2 -177 -79 38 -73 -157 -51 -391 -226 -127 -30 81 220 -125 -154 -220 9969 12821 12924 18070 23142 19047 141 18 223 161 815 275 597 -106 -25 94 -192 254 219 3 149 19 70 142 224 1151 15 484 -47 71 813 224 -54 138 214 159 600 496 218 130 372 83 -63 210 931 155 666 582 380 338 232 733 323 97 -22 49 413 163 82 0 
-27 -281 148 46 -109 -125 -223 -183 35 183 -219 -614 -258 -156 -31 -293 -101 -356 63252 93 58 15 15 164 78 66 -23 74 -70 -27 -215 -70 -501 -454 -391 -258 39 203 207 -129 -195 1859 2681 10764 880 1863 16644 11 -109 152 199 22727 82 951 27 0 301 -129 125 215 97 144 -78 156 234 121 810 -50 250 -508 -422 305 266 -775 -62 -7 19 207 293 -117 250 15 31 3 66 587 -78 438 246 133 121 23 176 344 673 -93 -113 137 39 -11 0 
-78 -145 113 -4 -233 -196 392 -214 6 129 -50 -547 -138 60 205 -41 -53 -235 43922 -34 143 -164 -9 13 -16 -6 -83 -48 -201 -120 -71 30 -582 -242 -471 -383 64 302 -104 -376 -284 16115 16550 22293 19987 26010 9570 129 -117 201 25 1169 64 210 -97 145 214 -337 87 -9 32 13 94 -124 46 -97 561 -53 182 -346 -360 150 309 -173 -104 55 53 820 547 71 -13 -115 -20 -20 150 429 -219 413 425 138 46 92 381 124 429 -34 -27 395 60 25 0 
42 -381 116 -370 -179 -518 -1005 -444 264 338 709 -1958 -518 -497 582 74 -476 -793 195564 211 169 -52 201 328 550 -370 -63 -391 412 -232 -359 -84 -2138 -688 -476 -741 656 635 1386 561 -497 6902 6997 9856 17827 40906 22369 84 -455 -423 762 -1122 158 4096 -84 -190 254 148 772 868 -328 815 688 -624 42 264 3504 201 550 -1259 -2773 1153 -254 -741 169 179 42 529 1619 243 338 -772 0 -211 2064 1206 -254 1842 1206 508 645 264 1228 582 1535 95 31 455 264 0 0 
-167 25 -16 -318 -746 -394 251 -528 310 268 486 -1953 0 -226 1006 620 578 -1349 162897 -578 435 -251 -394 -402 469 -268 -192 67 16 108 -184 -226 -1458 -410 -561 -653 67 108 2020 1425 268 13355 19660 16415 21009 32428 39445 25 217 1349 3898 6606 2414 5122 427 1408 1056 100 117 670 234 -368 1031 -335 -67 377 2414 -201 1324 -695 -1676 1542 519 922 75 285 519 142 1886 855 301 1391 1970 192 687 762 -285 1098 897 821 947 335 846 612 -293 192 -92 637 8 -276 0 
-120 80 106 77 -226 -234 338 -117 -58 162 296 -477 -205 -205 -114 -72 -104 -101 49612 -157 29 -149 -104 -189 -178 -194 -189 173 -50 -152 -245 10 -859 -362 -392 -341 90 475 29 282 -16 12484 16260 24998 23442 33130 12722 136 -32 245 120 1478 114 835 -240 453 45 -197 341 483 80 133 18 141 157 141 1694 106 547 -413 -427 709 -66 -683 -34 -40 152 483 717 354 162 261 -13 -29 539 955 53 776 1265 507 346 226 835 581 266 176 29 408 208 42 0 
-57 -272 190 214 -536 -274 -310 -157 283 174 -263 -579 -190 -195 176 253 -176 -391 53375 146 -179 119 -8 78 35 -54 -27 -244 -8 -214 -198 -84 -617 -266 -380 -225 46 348 -141 -103 -100 9905 11815 10923 24347 30674 26184 225 -87 84 62 579 533 933 -133 269 146 283 748 84 -190 -57 10 -171 40 100 2073 -106 304 -476 -1412 476 -78 -187 40 -29 114 587 666 130 155 489 141 -57 239 484 -247 966 429 204 87 242 408 209 -250 -59 -78 185 21 -2 0 
-159 135 362 270 -594 -599 -159 -386 62 246 527 -1180 -386 67 -681 -9 19 -609 79516 116 96 -96 -19 -120 -154 -48 -154 77 -159 -72 -551 -203 -1296 -454 -759 -1905 449 532 2099 1359 3482 22820 18355 36561 27376 38844 27690 82 -72 551 2055 10805 -174 1460 -101 372 140 19 628 357 207 222 440 -14 -72 140 1992 -33 918 -1634 -914 348 149 -2200 -154 -4 4 788 1039 498 91 -154 -43 62 299 643 -125 1538 619 87 353 101 561 469 860 91 169 1097 -91 -372 0 
-143 -49 -126 59 -17 -98 199 -237 162 115 216 -329 79 -44 -107 494 -25 -145 39539 94 57 38 -29 -42 40 4 -107 32 -49 -34 -261 -62 -469 -299 -248 -237 4 293 -164 -404 -276 8437 9586 11654 25071 37417 25380 137 77 306 951 26016 -132 424 -235 109 74 -147 62 267 64 85 111 -145 14 89 1583 102 332 -51 55 518 79 -437 119 85 83 89 653 77 100 707 57 128 179 516 156 569 422 374 432 162 681 409 610 -2 -49 524 209 194 0 
216 -40 -2 -58 -307 -329 153 -115 13 182 316 -918 -530 -361 -568 15 -160 -293 37634 -205 343 -31 101 -180 139 -232 -146 169 -45 -203 -331 -54 -977 -442 -489 -410 51 702 -270 -237 -137 15064 15394 28847 28335 31987 22314 56 -392 27 38 230 97 1988 -58 178 474 609 1266 40 97 83 155 -94 117 -146 3079 -216 668 -1643 -810 331 63 -957 -221 -20 151 681 1144 311 347 995 -130 -33 451 634 -329 1709 833 607 690 151 1063 711 571 65 -20 216 81 24 0 
-13 3 -27 11 -182 -507 -77 -94 -59 259 252 -636 -297 -11 -176 -32 -150 -196 27570 -66 162 -16 -11 -67 35 -23 -106 -6 -55 -54 -272 -35 -430 -206 -111 -108 -44 206 -94 -145 -30 10603 13847 19642 15873 23026 17229 150 -23 184 184 760 11 1257 -66 607 506 130 773 272 -40 45 69 -55 52 118 1733 -164 572 -1100 -631 262 223 -946 -60 77 11 86 915 72 140 661 132 71 113 751 -96 1059 458 110 155 45 555 255 297 -20 44 353 -64 50 0 
-58 -11 -37 -46 -63 -342 -71 -108 -31 202 7 -361 -339 -24 1 136 -63 -234 35868 -43 18 -7 18 -103 52 33 -80 5 -28 -97 -168 33 -768 -479 -458 -230 125 421 -127 -269 -331 10034 7728 11362 31207 36431 24724 200 129 258 104 889 213 556 -142 138 -1 -299 290 348 -16 172 384 31 63 99 2172 -18 606 -623 -177 1090 48 -324 119 222 136 1120 620 194 329 541 63 256 706 1343 33 1127 754 404 262 202 812 320 412 -52 35 522 277 211 0 
